run_accession,read_count
SRR23967291,103889570
SRR23967293,107683047
SRR23967295,106357121
SRR23967296,113651284
SRR23967298,105387243
SRR23967288,103999369
SRR23967289,134147282
SRR23967290,101354961
SRR23967297,120647931
SRR23967300,105688168
SRR23967292,103195101
SRR23967304,104897470
SRR23967305,103172578
SRR23967294,105801763
SRR23967299,102888366
SRR23967301,102955503
SRR23967302,102730606
SRR23967303,102459105
ERR2185436,2757225
ERR2185445,4340230
ERR2185440,3125086
ERR2185442,591759
ERR2185444,7930098
ERR2185446,5435614
ERR2185437,1519358
ERR2185438,1900028
ERR2185439,2562282
ERR2185441,3151861
ERR2185443,3880379
